State,Race,Gender,Year,Ages,Crude Death Rate (Per 100k Persons)
Alabama,Black or African American,Male,2016,25-34 years,17.7
Alabama,Black or African American,Male,2016,35-44 years,19.8
Alabama,White,Female,2006,35-44 years,4.8
Alabama,White,Female,2007,45-54 years,6
Alabama,White,Female,2008,25-34 years,5.4
Alabama,White,Female,2008,35-44 years,8.9
Alabama,White,Female,2008,45-54 years,5.6
Alabama,White,Female,2009,25-34 years,5.4
Alabama,White,Female,2009,35-44 years,8.1
Alabama,White,Female,2009,45-54 years,6.3
Alabama,White,Female,2010,35-44 years,5
Alabama,White,Female,2011,45-54 years,6.8
Alabama,White,Female,2013,45-54 years,4.6
Alabama,White,Female,2014,25-34 years,7.7
Alabama,White,Female,2014,35-44 years,5.7
Alabama,White,Female,2014,45-54 years,5.9
Alabama,White,Female,2015,25-34 years,5.7
Alabama,White,Female,2015,35-44 years,7.2
Alabama,White,Female,2015,45-54 years,8.9
Alabama,White,Female,2016,25-34 years,6.1
Alabama,White,Female,2016,35-44 years,10.3
Alabama,White,Female,2016,45-54 years,7.7
Alabama,White,Male,2002,35-44 years,4.1
Alabama,White,Male,2005,25-34 years,4.8
Alabama,White,Male,2006,25-34 years,6.8
Alabama,White,Male,2006,45-54 years,4.1
Alabama,White,Male,2007,20-24 years,13.6
Alabama,White,Male,2007,25-34 years,8.7
Alabama,White,Male,2007,35-44 years,4.7
Alabama,White,Male,2007,45-54 years,4.1
Alabama,White,Male,2008,25-34 years,13.9
Alabama,White,Male,2008,35-44 years,9.2
Alabama,White,Male,2009,20-24 years,10.7
Alabama,White,Male,2009,25-34 years,12.9
Alabama,White,Male,2009,35-44 years,8
Alabama,White,Male,2009,45-54 years,6.8
Alabama,White,Male,2010,25-34 years,14.3
Alabama,White,Male,2010,35-44 years,6.7
Alabama,White,Male,2010,45-54 years,4.8
Alabama,White,Male,2011,25-34 years,10.9
Alabama,White,Male,2011,35-44 years,5.5
Alabama,White,Male,2011,45-54 years,4.8
Alabama,White,Male,2012,25-34 years,9.9
Alabama,White,Male,2012,35-44 years,10.2
Alabama,White,Male,2012,45-54 years,6.6
Alabama,White,Male,2013,25-34 years,10.4
Alabama,White,Male,2013,35-44 years,5.6
Alabama,White,Male,2013,45-54 years,5.8
Alabama,White,Male,2014,20-24 years,12.1
Alabama,White,Male,2014,25-34 years,15.1
Alabama,White,Male,2014,35-44 years,9
Alabama,White,Male,2014,45-54 years,10.1
Alabama,White,Male,2015,25-34 years,17.8
Alabama,White,Male,2015,35-44 years,17.3
Alabama,White,Male,2015,45-54 years,11.5
Alabama,White,Male,2016,20-24 years,11.9
Alabama,White,Male,2016,25-34 years,23.3
Alabama,White,Male,2016,35-44 years,18
Alabama,White,Male,2016,45-54 years,8.2
Alaska,White,Male,2016,25-34 years,24.5
Arizona,White,Female,1999,35-44 years,4.2
Arizona,White,Female,2000,35-44 years,5.4
Arizona,White,Female,2000,45-54 years,3.5
Arizona,White,Female,2001,35-44 years,6.5
Arizona,White,Female,2001,45-54 years,5.2
Arizona,White,Female,2002,25-34 years,3.5
Arizona,White,Female,2002,35-44 years,5
Arizona,White,Female,2002,45-54 years,4.8
Arizona,White,Female,2003,35-44 years,6.5
Arizona,White,Female,2003,45-54 years,4.4
Arizona,White,Female,2004,35-44 years,4.7
Arizona,White,Female,2004,45-54 years,10.3
Arizona,White,Female,2005,25-34 years,4.5
Arizona,White,Female,2005,35-44 years,8.4
Arizona,White,Female,2005,45-54 years,16
Arizona,White,Female,2006,25-34 years,3.5
Arizona,White,Female,2006,35-44 years,8
Arizona,White,Female,2006,45-54 years,12.4
Arizona,White,Female,2007,25-34 years,3.7
Arizona,White,Female,2007,35-44 years,7.7
Arizona,White,Female,2007,45-54 years,7.5
Arizona,White,Female,2008,25-34 years,2.8
Arizona,White,Female,2008,35-44 years,6.6
Arizona,White,Female,2008,45-54 years,7.6
Arizona,White,Female,2009,25-34 years,5.4
Arizona,White,Female,2009,35-44 years,6.9
Arizona,White,Female,2009,45-54 years,12.7
Arizona,White,Female,2010,25-34 years,5.4
Arizona,White,Female,2010,35-44 years,5.2
Arizona,White,Female,2010,45-54 years,9.7
Arizona,White,Female,2011,25-34 years,4
Arizona,White,Female,2011,35-44 years,7.9
Arizona,White,Female,2011,45-54 years,8.7
Arizona,White,Female,2012,25-34 years,5.1
Arizona,White,Female,2012,35-44 years,6.7
Arizona,White,Female,2012,45-54 years,5.5
Arizona,White,Female,2013,25-34 years,4.5
Arizona,White,Female,2013,35-44 years,6.7
Arizona,White,Female,2013,45-54 years,5.8
Arizona,White,Female,2014,25-34 years,5
Arizona,White,Female,2014,35-44 years,3.5
Arizona,White,Female,2014,45-54 years,3.9
Arizona,White,Female,2015,25-34 years,6.6
Arizona,White,Female,2015,35-44 years,7.2
Arizona,White,Female,2015,45-54 years,8.5
Arizona,White,Female,2016,25-34 years,4.4
Arizona,White,Female,2016,35-44 years,6.9
Arizona,White,Female,2016,45-54 years,4.1
Arizona,White,Male,1999,25-34 years,11
Arizona,White,Male,1999,35-44 years,19.6
Arizona,White,Male,1999,45-54 years,19.3
Arizona,White,Male,2000,20-24 years,6
Arizona,White,Male,2000,25-34 years,8.5
Arizona,White,Male,2000,35-44 years,16.8
Arizona,White,Male,2000,45-54 years,17.1
Arizona,White,Male,2001,20-24 years,5.7
Arizona,White,Male,2001,25-34 years,12.4
Arizona,White,Male,2001,35-44 years,15.5
Arizona,White,Male,2001,45-54 years,17.3
Arizona,White,Male,2002,20-24 years,7.7
Arizona,White,Male,2002,25-34 years,6.7
Arizona,White,Male,2002,35-44 years,18.4
Arizona,White,Male,2002,45-54 years,16.9
Arizona,White,Male,2003,20-24 years,8.3
Arizona,White,Male,2003,25-34 years,7.2
Arizona,White,Male,2003,35-44 years,17.8
Arizona,White,Male,2003,45-54 years,19
Arizona,White,Male,2004,15-19 years,6.2
Arizona,White,Male,2004,20-24 years,11
Arizona,White,Male,2004,25-34 years,8.8
Arizona,White,Male,2004,35-44 years,17.7
Arizona,White,Male,2004,45-54 years,20.4
Arizona,White,Male,2005,15-19 years,5.5
Arizona,White,Male,2005,20-24 years,8.7
Arizona,White,Male,2005,25-34 years,10
Arizona,White,Male,2005,35-44 years,15.4
Arizona,White,Male,2005,45-54 years,17.5
Arizona,White,Male,2006,15-19 years,6.4
Arizona,White,Male,2006,20-24 years,13.5
Arizona,White,Male,2006,25-34 years,15
Arizona,White,Male,2006,35-44 years,18.7
Arizona,White,Male,2006,45-54 years,19.3
Arizona,White,Male,2007,15-19 years,8.8
Arizona,White,Male,2007,20-24 years,9.6
Arizona,White,Male,2007,25-34 years,13.8
Arizona,White,Male,2007,35-44 years,13.5
Arizona,White,Male,2007,45-54 years,22.8
Arizona,White,Male,2008,20-24 years,13.8
Arizona,White,Male,2008,25-34 years,11.3
Arizona,White,Male,2008,35-44 years,12.2
Arizona,White,Male,2008,45-54 years,14
Arizona,White,Male,2009,15-19 years,5.1
Arizona,White,Male,2009,20-24 years,11.1
Arizona,White,Male,2009,25-34 years,16.6
Arizona,White,Male,2009,35-44 years,9.5
Arizona,White,Male,2009,45-54 years,17.5
Arizona,White,Male,2010,15-19 years,8.2
Arizona,White,Male,2010,20-24 years,16.4
Arizona,White,Male,2010,25-34 years,13.4
Arizona,White,Male,2010,35-44 years,12.4
Arizona,White,Male,2010,45-54 years,13.2
Arizona,White,Male,2011,15-19 years,6.8
Arizona,White,Male,2011,20-24 years,18.2
Arizona,White,Male,2011,25-34 years,13.8
Arizona,White,Male,2011,35-44 years,9.7
Arizona,White,Male,2011,45-54 years,14.1
Arizona,White,Male,2012,20-24 years,8.9
Arizona,White,Male,2012,25-34 years,12.7
Arizona,White,Male,2012,35-44 years,10.5
Arizona,White,Male,2012,45-54 years,10.8
Arizona,White,Male,2013,15-19 years,5.8
Arizona,White,Male,2013,20-24 years,12.7
Arizona,White,Male,2013,25-34 years,14.2
Arizona,White,Male,2013,35-44 years,8.8
Arizona,White,Male,2013,45-54 years,11.4
Arizona,White,Male,2014,20-24 years,9.7
Arizona,White,Male,2014,25-34 years,16.3
Arizona,White,Male,2014,35-44 years,13.7
Arizona,White,Male,2014,45-54 years,11.1
Arizona,White,Male,2015,20-24 years,11.8
Arizona,White,Male,2015,25-34 years,12.2
Arizona,White,Male,2015,35-44 years,11.9
